18, 7, 2, -6, 7, -5, 1, -9, -11, 1, 2, -6, 4, 3, 1, -1
22, 0, -5, 7, 11, 0, -8, -7, -7, 4, 3, -8, -5, -3, 0, 1
21, -2, -7, 2, 6, 1, 7, -1, -5, 4, 1, -10, -10, -4, -3, 13
5, -1, -8, 4, -5, 12, 0, 5, -1, 0, -11, 2, -10, -14, -5, 13
-1, -12, 0, -1, 5, 0, -2, -11, 8, 7, 3, -1, -10, -3, 2, 16
-3, -6, 7, 5, -4, 0, 8, -13, -1, -1, -6, 4, 5, 3, -8, 5
-7, -3, 27, 15, -1, 0, 10, -15, 6, -7, 0, -4, 12, 3, -16, 3
2, -1, 28, 16, 3, -5, 2, -14, -6, -4, -9, 2, 14, -7, -2, -6
19, -10, 19, 16, -2, 1, -14, -7, -6, 2, -4, -4, 3, 1, 5, -8
9, -8, 14, 14, 4, -3, -23, -4, 0, 1, -1, -11, -9, 9, 8, -5
2, -5, -6, -3, -14, -5, 1, 13, 10, 3, 0, -1, -3, 1, 8, -11
-10, 1, 12, 4, -3, -2, -13, 0, 19, -9, -9, 4, 2, -2, 19, -9
-14, -2, 14, -4, -2, -5, -23, -11, 11, -8, 0, 8, 4, 16, 18, -1
1, -6, 10, -10, -7, 1, -20, -17, -7, -1, 1, -9, -6, 14, 17, -4
7, 2, 3, -10, -9, 11, -10, -10, -3, 9, 0, -5, 0, 8, 7, -1
4, -3, -6, -4, -19, -8, 2, 13, -1, -12, 3, 9, -5, 14, 10, 0
4, 6, -7, -1, -1, -10, 3, 20, 17, -15, 3, 3, 3, 1, -6, 1
-4, 4, -6, -2, 6, 1, -4, 19, 24, -10, -5, 0, 1, -3, -7, 0
-13, -3, -4, 8, 4, 5, 4, 8, 10, 2, 2, -13, -10, -5, -11, -6
-2, 0, -9, -1, -4, -8, 8, -5, -6, 14, -5, -10, -5, -4, -10, -3
5, 2, 10, 0, -19, -15, -7, 11, -7, -5, 8, 1, -9, -3, -2, 11
2, -1, 14, 4, 1, -5, 4, 7, -12, -6, -3, -13, -7, 1, -5, 11
-1, 3, 0, 3, -1, 11, 2, 5, 5, -2, -5, -12, 6, 3, 6, -7
-4, -6, -8, 7, -4, 4, -9, 15, -1, -2, -1, -10, 2, 17, 0, -10
-8, 3, -8, 5, -5, -3, -1, 5, -2, 0, 17, -8, -12, 14, -3, -2
0, -5, 1, 1, -1, -4, -5, -3, 4, 2, 2, 2, -6, -3, -3, -5
-8, 3, 2, 3, 0, -4, 2, 1, -4, 0, -2, 8, 0, 2, -2, -4
-4, 1, 0, 2, -8, 0, 1, -7, -6, -6, -1, -4, 9, 3, 7, -2
2, 7, 1, 3, 3, -2, 2, -2, 7, 2, -1, 11, 10, 1, -5, -7
-4, -5, -2, -1, 0, 1, -4, 0, 1, -1, -1, 1, 10, 1, 6, 3
4, 1, -7, -4, -1, -8, -6, 2, -4, -4, -3, 4, -5, 7, -3, 0
1, 1, -3, -6, -7, 1, -1, 4, -5, -6, 5, 1, -3, 5, 1, -2
14, -1, -4, -1, -6, 1, 5, 6, -1, -2, -4, 3, -6, -1, -1, -2
12, -5, -10, 1, -3, -5, 0, 3, 0, 4, 2, -4, -1, -1, -4, 5
-2, -9, -10, -3, 7, 4, -4, -4, -1, -7, -6, 1, 1, -9, -5, 8
5, 1, 6, 3, -1, -3, 1, -8, -3, -3, 2, -7, -1, -1, 2, 9
9, 2, 11, 1, -2, 1, 14, -7, 0, -2, -4, -1, 6, 3, -5, 8
15, -2, 14, 2, -7, -4, 17, 0, -8, -6, 4, -2, 0, 7, -11, 10
13, -2, 12, 13, -6, -7, 8, 2, -2, 7, -3, 0, 6, -2, -9, -1
3, -6, -1, 12, 3, 8, -6, 6, -6, 7, 5, 3, -2, 5, 3, -6
1, -4, 6, 5, -4, -5, -2, 4, 0, 7, 8, -3, -1, -5, 2, 2
-10, -2, 13, 8, 1, -6, -4, -5, 14, 4, -7, -5, 1, -8, 3, -3
-11, -6, 15, 4, -6, -4, -5, -5, 4, -2, -6, -7, -2, 4, 7, 3
-3, -3, 14, 2, 1, 1, -10, -7, 1, -2, -2, 3, 0, 0, 11, 2
2, -6, 5, -6, 0, 2, -14, -9, -6, 7, 6, 1, 2, 3, 2, -7
4, -3, 7, -2, 3, -4, 2, -8, 7, 2, 4, 0, -1, -5, 3, 5
1, 4, 2, 4, 1, -1, -6, -2, 11, 1, -1, 6, 0, 5, 0, -6
