50, 51, 51, 52, 53, -55, -54, -53, -53, -52, 12, 13, 13, 14, 15, 31, 32, 32, 33, 34, 49, 50, 50, 51, 52, -3, -3, -3, -3, -3, 54, 54, 54, 54, 54, 18, 18, 18, 18, 19, -23, -23, -23, -23, -23, -21, -21, -21, -21, -21, 28, 28, 28, 29, 29, 54, 54, 54, 54, 54, -10, -10, -10, -10, -10, -17, -17, -16, -16, -16, -13, -12, -12, -12, -12, 50, 51, 52, 53, 54, -29, -28, -27, -26, -25, -10, -9, -8, -7, -6, 19, 20, 21, 22, 23, 48, 49, 50, 51, 52, 28, 29, 30, 31, 32, 1, 2, 3, 3, 4, -18, -17, -16, -15, -14, 5, 6, 6, 7, 8, 27, 28, 29, 30, 30, 10, 10, 11, 11, 12, 16, 16, 17, 17, 18, -6, -6, -5, -5, -4, -7, -7, -6, -6, -5, 6, 7, 7, 7, 8, 0, 0
51, 51, 52, 53, 53, -54, -53, -53, -52, -52, 13, 13, 14, 15, 15, 32, 32, 33, 34, 34, 50, 50, 51, 52, 52, -3, -3, -3, -3, 3, 54, 54, 54, 54, 57, 18, 18, 18, 19, 19, -23, -23, -23, -23, -23, -21, -21, -21, -21, -20, 28, 28, 29, 29, 29, 54, 54, 54, 54, 54, -10, -10, -10, -10, -9, -17, -16, -16, -16, -16, -12, -12, -12, -12, -12, 51, 52, 53, 54, 54, -28, -27, -26, -25, -14, -9, -8, -7, -6, -5, 20, 21, 22, 23, 24, 49, 50, 51, 52, 53, 29, 30, 31, 32, 42, 2, 3, 3, 4, 9, -17, -16, -15, -14, -14, 6, 6, 7, 8, 9, 28, 29, 30, 30, 31, 10, 11, 11, 12, 24, 16, 17, 17, 18, 36, -6, -5, -5, -4, -4, -7, -6, -6, -5, -5, 7, 7, 7, 8, 8, 0, 0
51, 52, 53, 53, 37, -53, -53, -52, -52, -31, 13, 14, 15, 15, 16, 32, 33, 34, 34, 35, 50, 51, 52, 52, 53, -3, -3, -3, 3, 21, 54, 54, 54, 57, 44, 18, 18, 19, 19, 5, -23, -23, -23, -23, -22, -21, -21, -21, -20, -20, 28, 29, 29, 29, 29, 54, 54, 54, 54, 29, -10, -10, -10, -9, -8, -16, -16, -16, -16, -16, -12, -12, -12, -12, -12, 52, 53, 54, 54, 32, -27, -26, -25, -14, -16, -8, -7, -6, -5, -4, 21, 22, 23, 24, 25, 50, 51, 52, 53, 54, 30, 31, 32, 42, 39, 3, 3, 4, 9, 2, -16, -15, -14, -14, -13, 6, 7, 8, 9, 10, 29, 30, 30, 31, 32, 11, 11, 12, 24, 39, 17, 17, 18, 36, 49, -5, -5, -4, -4, -11, -6, -6, -5, -5, -5, 7, 7, 8, 8, 9, 0, 0
52, 53, 53, 37, 25, -53, -52, -52, -31, -35, 14, 15, 15, 16, 17, 33, 34, 34, 35, 36, 51, 52, 52, 53, 45, -3, -3, 3, 21, 49, 54, 54, 57, 44, 53, 18, 19, 19, 5, -17, -23, -23, -23, -22, -22, -21, -21, -20, -20, -16, 29, 29, 29, 29, 53, 54, 54, 54, 29, 21, -10, -10, -9, -8, -16, -16, -16, -16, -16, -16, -12, -12, -12, -12, -14, 53, 54, 54, 32, 5, -26, -25, -14, -16, -26, -7, -6, -5, -4, -3, 22, 23, 24, 25, 26, 51, 52, 53, 54, 41, 31, 32, 42, 39, 29, 3, 4, 9, 2, -21, -15, -14, -14, -13, -12, 7, 8, 9, 10, 10, 30, 30, 31, 32, 42, 11, 12, 24, 39, 25, 17, 18, 36, 49, 18, -5, -4, -4, -11, -17, -6, -5, -5, -5, -4, 7, 8, 8, 9, 26, 0, 0
53, 53, 37, 25, 22, -52, -52, -31, -35, -38, 15, 15, 16, 17, 17, 34, 34, 35, 36, 36, 52, 52, 53, 45, 45, -3, 3, 21, 49, 49, 54, 57, 44, 53, 54, 19, 19, 5, -17, -24, -23, -23, -22, -22, -22, -21, -20, -20, -16, -8, 29, 29, 29, 53, 53, 54, 54, 29, 21, 17, -10, -9, -8, -16, -20, -16, -16, -16, -16, -16, -12, -12, -12, -14, 12, 54, 54, 32, 5, -2, -25, -14, -16, -26, -38, -6, -5, -4, -3, -2, 23, 24, 25, 26, 27, 52, 53, 54, 41, 42, 32, 42, 39, 29, 19, 4, 9, 2, -21, -20, -14, -14, -13, -12, -11, 8, 9, 10, 10, 11, 30, 31, 32, 42, 37, 12, 24, 39, 25, 13, 18, 36, 49, 18, 9, -4, -4, -11, -17, -17, -5, -5, -5, -4, -4, 8, 8, 9, 26, 27, 0, 0
53, 37, 25, 22, 22, -52, -31, -35, -38, -38, 15, 16, 17, 17, 18, 34, 35, 36, 36, 37, 52, 53, 45, 45, 46, 3, 21, 49, 49, 49, 57, 44, 53, 54, 54, 19, 5, -17, -24, -24, -23, -22, -22, -22, -22, -20, -20, -16, -8, -4, 29, 29, 53, 53, 53, 54, 29, 21, 17, 17, -9, -8, -16, -20, -20, -16, -16, -16, -16, -15, -12, -12, -14, 12, 27, 54, 32, 5, -2, -1, -14, -16, -26, -38, -36, -5, -4, -3, -2, -1, 24, 25, 26, 27, 28, 53, 54, 41, 42, 43, 42, 39, 29, 19, 20, 9, 2, -21, -20, -19, -14, -13, -12, -11, -10, 9, 10, 10, 11, 12, 31, 32, 42, 37, 23, 24, 39, 25, 13, 14, 36, 49, 18, 9, 10, -4, -11, -17, -17, -16, -5, -5, -4, -4, -3, 8, 9, 26, 27, 7, 0, 0
37, 25, 22, 22, 23, -31, -35, -38, -38, -37, 16, 17, 17, 18, 19, 35, 36, 36, 37, 38, 53, 45, 45, 46, 47, 21, 49, 49, 49, 49, 44, 53, 54, 54, 54, 5, -17, -24, -24, -24, -22, -22, -22, -22, -22, -20, -16, -8, -4, -4, 29, 53, 53, 53, 53, 29, 21, 17, 17, 18, -8, -16, -20, -20, -19, -16, -16, -16, -15, -15, -12, -14, 12, 27, 27, 32, 5, -2, -1, 0, -16, -26, -38, -36, -35, -4, -3, -2, -1, 0, 25, 26, 27, 28, 29, 54, 41, 42, 43, 44, 39, 29, 19, 20, 20, 2, -21, -20, -19, -18, -13, -12, -11, -10, -10, 10, 10, 11, 12, 13, 32, 42, 37, 23, 24, 39, 25, 13, 14, 14, 49, 18, 9, 10, 10, -11, -17, -17, -16, -16, -5, -4, -4, -3, -3, 9, 26, 27, 7, 7, 0, 0
25, 22, 22, 23, 24, -35, -38, -38, -37, -36, 17, 17, 18, 19, 19, 36, 36, 37, 38, 38, 45, 45, 46, 47, 47, 49, 49, 49, 49, 49, 53, 54, 54, 54, 54, -17, -24, -24, -24, -24, -22, -22, -22, -22, -22, -16, -8, -4, -4, -4, 53, 53, 53, 53, 53, 21, 17, 17, 18, 18, -16, -20, -20, -19, -19, -16, -16, -15, -15, -15, -14, 12, 27, 27, 28, 5, -2, -1, 0, 1, -26, -38, -36, -35, -34, -3, -2, -1, 0, 1, 26, 27, 28, 29, 30, 41, 42, 43, 44, 45, 29, 19, 20, 20, 21, -21, -20, -19, -18, -18, -12, -11, -10, -10, -9, 10, 11, 12, 13, 14, 42, 37, 23, 24, 25, 25, 13, 14, 14, 15, 18, 9, 10, 10, 11, -17, -17, -16, -16, -15, -4, -4, -3, -3, -2, 26, 27, 7, 7, 8, 0, 0
-55, -54, -53, -53, -52, 12, 13, 13, 14, 15, 31, 32, 32, 33, 34, 49, 50, 50, 51, 52, 25, 25, 26, 27, 27, 54, 54, 54, 54, 54, 18, 18, 18, 18, 19, -23, -23, -23, -23, -23, -21, -21, -21, -21, -21, 49, 49, 49, 49, 49, 54, 54, 54, 54, 54, -10, -10, -10, -10, -10, -17, -17, -16, -16, -16, -13, -12, -12, -12, -12, 53, 54, 54, 54, 54, -29, -28, -27, -26, -25, -10, -9, -8, -7, -6, 19, 20, 21, 22, 23, 48, 49, 50, 51, 52, 3, 4, 5, 6, 7, 1, 2, 3, 3, 4, -18, -17, -16, -15, -14, 5, 6, 6, 7, 8, 27, 28, 29, 30, 30, 22, 23, 24, 25, 25, 16, 16, 17, 17, 18, -6, -6, -5, -5, -4, -7, -7, -6, -6, -5, 6, 7, 7, 7, 8, 15, 16, 16, 17, 17, 0, 0
-54, -53, -53, -52, -52, 13, 13, 14, 15, 15, 32, 32, 33, 34, 34, 50, 50, 51, 52, 52, 25, 26, 27, 27, 28, 54, 54, 54, 54, 57, 18, 18, 18, 19, 19, -23, -23, -23, -23, -23, -21, -21, -21, -21, -20, 49, 49, 49, 49, 49, 54, 54, 54, 54, 54, -10, -10, -10, -10, -9, -17, -16, -16, -16, -16, -12, -12, -12, -12, -12, 54, 54, 54, 54, 54, -28, -27, -26, -25, -14, -9, -8, -7, -6, -5, 20, 21, 22, 23, 24, 49, 50, 51, 52, 53, 4, 5, 6, 7, 8, 2, 3, 3, 4, 9, -17, -16, -15, -14, -14, 6, 6, 7, 8, 9, 28, 29, 30, 30, 31, 23, 24, 25, 25, 26, 16, 17, 17, 18, 36, -6, -5, -5, -4, -4, -7, -6, -6, -5, -5, 7, 7, 7, 8, 8, 16, 16, 17, 17, 18, 0, 0
