35, 7, -30, -16, -13, -11, 7, 43, 26, -11, -4, 21, 11, 20, 1, 23
37, 11, -26, -17, -11, -10, 7, 44, 25, -11, -4, 21, 9, 21, 1, 20
24, 19, -15, -27, -9, -15, 1, 36, 23, -17, 3, 30, 19, 22, 10, 14
3, 13, -9, -30, -12, -17, -14, 40, 33, -16, 1, 36, 18, 13, 19, 7
18, -16, 72, 40, -4, 5, -2, -42, 39, 19, 0, 11, 2, 0, 40, 3
17, -16, 72, 40, -4, 5, -2, -43, 39, 20, 2, 11, 1, 2, 39, 3
6, -19, 63, 48, 7, 7, 20, -24, 38, 16, 5, 12, 13, 10, 45, 9
39, -9, 53, 50, 12, 1, 36, -2, 15, 22, 11, 0, 8, 6, 46, 14
55, 8, -8, 27, -3, -4, 36, 39, -2, 0, -4, 1, -13, 9, -15, 32
55, 7, -8, 27, -4, -1, 36, 38, -3, 1, -4, 0, -14, 10, -15, 31
49, 16, -14, 15, -2, 0, 42, 40, -8, -3, -2, -4, -5, 20, -13, 36
33, 18, -31, -5, -4, -15, 29, 34, 5, -7, 4, 17, 12, 26, -7, 34
-9, -4, 60, 17, -5, 6, -33, -24, 45, 13, 2, 31, 15, 5, 41, -12
-9, -5, 59, 17, -5, 5, -35, -25, 45, 12, 2, 30, 14, 5, 41, -12
-11, -5, 58, 18, -6, 4, -38, -27, 44, 12, 3, 30, 8, 7, 41, -12
-4, -12, 58, 32, 7, 9, -21, -29, 40, 14, 2, 29, 16, 10, 35, -13
