     -62     -82       5     -13
     116     -83    -122     119
    -125       5      69      97
     -65     -22     -54     -98
      68     123      21    -118
    -107      -2      11     -81
     -38      54      19     123
      30      95      47     -22
      27     -26      84     -57
    -126      21      12      75
     -84      27     -11    -115
      98     -64      16     127
      77      71     -66     109
     -41      50     -38      60
    -119      49     -10     125
     -83     103      28     -82
      89    -113     -91      88
    -107      46       3      97
      23    -123    -101      51
     -58     -73     110      -5
     -53     -33     -46     116
     118      98      44      40
     -39     -84     -73     -89
      29      35     100       7
     122    -115     -86     -33
     -18      32     -97     -85
       2    -101      20      43
     -31     122      85     -60
      33       6      23     103
     -78     -56     -46      45
     -70      57      -5     115
      12      81     -70     -68
      97    -122     -13      87
      54      74      -2    -106
      99      79     -17     -26
     -75     126     -86    -122
     -27     -87      13      45
     -69       8      -6      45
     120      14     -61      10
      23      20      24     -54
      34     127     -94     -57
     -33     -35      59      81
    -107     109     -82      86
     -34      91     122     114
     -90      20     126      12
     -13     107     121      -2
      98      97      68     126
     115      77      -6     -98
     120     -37      64      29
     -67     -79     101     -91
     -88      62     -88     -60
      -6     126     109     -21
      54      19      14     -64
      -3    -121     -52     -98
      36    -118     -42    -109
     113    -107      13      38
      35       9     119      79
    -128     -27      29      64
     -84     123      15      55
     110      80       6     -52
     -15     -40     -60      55
     127     -55     105      21
      69      67     108      70
    -101     -25     -70     -93
