     -24      78    -109      63
     -11     -82      -6      53
      69    -122      18      -7
      76    -101     106      -7
     -56      28      56       5
     -23     -85      90      -7
     -89    -106     -28    -121
     -50     -44      83      21
     -33      22     -19     -29
      15      81     -60     -93
     104     -28      83     -99
     121     114    -110     -69
     -61      -5      15     -75
    -116      60     101    -112
    -111      43    -100     -58
      83    -126     -16      64
      99      80      77      38
     -95      67     108      39
    -103     -88     -32     110
      54      90     110      61
    -108    -108     103      53
      74       0       7     102
     100      42     -91     -56
     -46     -20      44      43
      -6      82    -116     -16
      -6     -98      95      88
     -63     -55     -71     103
      78    -109      53      10
    -128     -16     -62     125
      -7      36     -57       5
    -110       0    -123      28
       5     -87      32      70
      26      78    -100     -61
      41     -54     -71      46
     -82     102     -87    -103
     -47      55     -85     -61
     -40      30    -116      76
      90      98     -32      31
       9     -88      41     -75
      76     118      16      50
     -22     107      19     -18
     125       3     -36      20
      39     -75    -118      18
    -112     -60      51      20
     -59      95      -4      67
     -23     -25     -79     -28
     -69     -99       6     -29
    -122     -32     118     -17
     -46      27     -42      51
     112     -56    -106     -64
     -77      99       4      68
    -104      37      30     117
      29     -98      29      85
      52      87     -44     -53
     -89     -86     101     122
      83      95     -84    -118
      72     -95     122      44
     -11      65     -53      80
    -123       2      20      33
     105     -21      94    -126
     -51      52    -110      73
    -101      16     -96     -69
      26      -3      62       3
     -89     -17     -32      61
