      44     100    -119     102
      55    -121     -70     -84
    -100       6    -105       2
       7     126      85      81
      85      86     -15      13
    -117     -22      86     103
      29      20     -15     -12
     -57      34     110     -16
      29     121     122      75
     104     107     -26      -1
     -39      39      30     -12
     121      26    -120     124
      50     -81      37     -74
      13    -126    -114      -9
     127     -94     121      72
      74     -47     -96      27
      -5    -123     -82      51
      27     -31      32    -106
      32      38    -127       1
     -41     124     116    -121
     -40     -96      88     118
     116     -67      68    -118
      -8    -110     -68      49
     111     -60    -117     -34
     -15      30     119    -112
    -127      88     -93    -127
     -19      80     124    -109
     104     108     -22      15
      60     -23      90    -100
      -2     -49     -80     -85
      85     -43      98    -126
     -16     123     107      14
    -120     -61     127     -24
      21     -96      28    -117
     -51     -18    -108      67
      85     -78     -74     -33
      66      97      61      54
     -28     -20     -93    -111
     -94      33      -5      11
     123     108      79      81
    -123      67      34      72
     -41      33     -18     -82
      74      17     104      33
     120      49      60      76
     115     -93       4       3
    -116       5     -57      53
    -121     -72      52      -4
      76      64     -71     -87
     -64     -64     109     110
    -118      74     112       2
      98     -94      46     -37
      92      54     -90      41
     -13     -73     -54      16
     -51     112    -115      48
     -73     108     -82      29
       5      36      46      24
      86      -1     -44     -74
      60    -115      93     115
      -4     -75     102      59
       8    -109      39     -76
     -60      99    -100      25
     -59    -113     -83     -24
      66     -82      70    -116
     -91       5      79     -95
