       8      98     -73      34
       3    -102      -7      26
    -100      -7     -62     -14
      75     -25     107      82
    -113      29    -101      10
     -98      34     -69     -64
     -83      52    -104       3
      53     -87    -124     -88
     -76    -120     -25     -31
      75       6      27     -62
     118     -86    -123      30
      35     -61      -7      26
     -61      50     -64     -62
    -120    -105      39      85
      94      35      41     -60
      54      10     -17     -21
     -31     100      68      88
     126     -23     -86     -75
       1    -111     104      23
    -113    -107     -56     -20
      42     -88     -80     114
     -60      66     -60      40
      85      91     127     -14
     -64      10     -96      65
     -46      87      81     -54
    -123      77     -54     -16
      63      87     -55      44
     126    -124      60       9
       1     -38      38      28
     -26     -31    -123    -126
     117     -25     -68     118
      72      62      41      66
     106      49      38      -6
     -34     105    -108     -19
      94      77      33      29
      -8     -32     -34     -69
      85     -99     -13     -27
     115      24    -104    -114
     -87    -117     -91     100
      56     -24      18     110
     109      72     -16      63
     -15      71     -39      35
     -81    -117      54      90
     -20     -45      76      90
    -128     -70     -29     -99
     -33     102      -6    -116
      -1     -58      35      -7
     -83      48     -26     -31
     103     -24     -29      49
    -100     -86       2     -37
      83       1       4       2
     -97      77     100    -122
      74     -10      17     115
     -73    -100      -3     -67
     -98     -85    -127     -56
     104      52      99      78
     122    -107    -108     -49
      94     -54      21    -119
     -33     -43     -77      42
     109     -13      97     -84
    -126    -121      87     112
      28      74      51     105
     122    -127     -59     104
     122     113     -51    -104
