      72     -82    -124     -36
     -49     -66      88       0
     114     -46     -65      19
      36     127     -83     121
      74      96      71     -26
      14      63     103       0
     -85      41      10     -72
      46     -16      54     126
       3    -115    -117      27
    -119     -27      -1       1
      48      84     -11     113
     -86     104    -125      78
      -9     -28     -57     -25
     -69      -1     110     -59
      -6      21      75      68
     -62       2      84     -62
      53      33     126     -30
      10      97      83      45
      14    -121     106      36
      86    -103      48      14
     -64      93     -41     -15
      87      18    -123      18
      64     107      25     102
     -33      55       0     -41
     -49      26    -116      18
     -52     -65     123      15
     -42      86     -72     -38
      -5     115      78     -60
      26      12      52    -111
     -77    -100       4      34
     -37     -66     -60    -127
    -121     -24       1      99
      13      53      52     -97
      -4    -119     -75     -32
      93    -104      15     -85
     -96     -91     -82     102
    -125      99     -77      81
      85      68     -62      37
      66     -33     104     -59
      96     -76     -75     -19
     -45      18     -29     116
      29     106      -4     100
     -85     -25     -22    -101
      47     -38       4    -121
     115     102       8     -84
     -97     -11     -36      22
      61      47     -54    -115
     -24      -5      35      13
      60     107      63      97
     -51     -58     -34     -94
      51      99      33     -31
     -77     -29     -67    -101
     106    -119     -88     106
      74     -49    -105       0
      29      55     -26      44
      65      93      65       4
     -13     124      60      91
     -24     -36    -116      29
     -49     -70     115     -67
     -80     -41     112     -71
    -105     -23      11      76
     -21       5      78      18
     -41     101      21     106
     -16      63      81      89
