     -78      79      26     -54
    -108    -124      21     -54
      82      50     -49    -116
    -102     -96     -79     -66
      75      -2     121     121
      95     107      98      77
     122    -100    -125      93
      80     -57      87     -84
     -11     -50      35     -73
      89     -91     -27    -127
    -128     -75      62     -20
     -38     -49      86    -106
      69       1     -61     -38
    -112    -114      21     -59
     -80     -41      25     -12
     -62      97     -33       3
    -107     -34    -111      97
       7     -79      94     -30
     -31       7      95     -24
     102      22      53     119
     -56     -77     -18     -53
     -66    -106     -84     -33
      -9     116     -87     -41
     -20       7      30     -13
      31     -68      48     -33
    -115      72     -66     -32
      74     -96     -72    -108
    -125     -66     103      11
     109     -50    -107      74
      16      16    -120     -70
      42      77      -4     -29
     -80     -22     126     -22
      -9      70    -102       2
    -123     -73    -117      37
     -59     -55      44      84
      22     -38     106     -51
     -99     -91      78    -128
      93      11      74      58
     101      38     114      61
     -64     110      10     -84
     -31     -35     -12       6
     -18     111     -18       4
    -123      -9     -47     -65
      73      28      21     -34
     -30    -123     -22     113
      18    -102     -48       3
    -124     -47     -18     -68
     -66     109      71     -33
     -39     119     -42      77
    -119     -68     -36     -70
      84      59     -29     -88
     -46      72     -97    -113
     121      50      23      86
      -7    -117     -76     -38
      -9     -48     -16     -57
       4      25     -88      -6
     126      25    -102      62
     -82      84      95      42
     124      43      75      66
      14       9      -3     127
      59    -126     -49      36
      67      37     -79      69
    -119     -70     -86     -39
     -72      44       0      38
